rank,feature,mean_abs_ensemble_shap,mean_abs_member_shap,mean_ensemble_shap,sd_ensemble_shap,min_ensemble_shap,q25_ensemble_shap,median_ensemble_shap,q75_ensemble_shap,max_ensemble_shap,positive_share
1,garantia_agrupada,1.1767715999217194,1.1767715999217212,1.166619714458964,0.2527493810733436,-0.6484161943321057,1.1136230761148984,1.2630104034420562,1.3226141745024846,1.3844810759055086,0.99
2,comarcaid,1.1256123332545482,1.1256425764535727,1.1107388052554885,0.35745637959833537,-0.465382824219245,1.0779648970103344,1.256934457037294,1.311000780751865,1.5332739062347678,0.974
3,tomadornivel,0.6026090229055576,0.6028788630127467,0.5888790060362762,0.219775604379213,-0.3773799871565358,0.5848057683445762,0.6723141393719549,0.7161802536055102,0.8270353760542652,0.976
4,antiguedad_poliza,0.5655932536487825,0.5668040226219805,0.5191987664304658,0.9931132884326914,-0.083357884299518,-0.042813260102055245,-0.0071251923539489195,0.6150369123130469,4.084619317321951,0.5
5,garantia,0.28477463265712755,0.2847746326571274,0.2832546140847145,0.05150686596971687,-0.2057970589179921,0.27994111059125965,0.29996898824988516,0.3124542141015488,0.37734042606083384,0.996
6,aceptoculpasinantecedentes,0.10101145778542918,0.10101145778542926,0.08058794717652247,0.1762998691402697,-0.015815225176997273,-0.014468569255998267,-0.013845147917110173,-0.00545876670940058,0.4605119934663052,0.228
7,dias_notificacion,0.09795512183835171,0.09808098739339433,0.08458920544064814,0.05807595885204835,-0.2125461397460607,0.07431978395539954,0.09659715934433998,0.11748612546703985,0.16159574978176786,0.948
8,tomadorcomarcaid,0.08587115627594293,0.08737842733449065,0.07701917920152815,0.0537250885808153,-0.09583213927945586,0.05390801854093401,0.09736199720229194,0.11855373733977442,0.136327062902087,0.846
9,tomadormunicipioid,0.07154914206678888,0.0752412410742491,0.05284185029659895,0.06990588902601623,-0.06209342739174056,-0.02269299401261641,0.05748543149415628,0.1043147003131196,0.2493687882252778,0.654
10,edad_conductor1,0.06420385133392685,0.06526330883911761,0.03535173034188904,0.06374795343188695,-0.12793591894282155,-0.02620654895023306,0.0633068548310645,0.08660033815907002,0.15480820189607097,0.64
11,formapago,0.04097808310997163,0.044226673434585216,0.024458455817185188,0.043800400999836155,-0.0929914252023925,0.0036046099999777273,0.030753178806422907,0.049717596831546626,0.11642840659202007,0.804
12,zona,0.03884139278537322,0.03900806531557016,0.03370897720528749,0.022802098092677657,-0.04679383866297236,0.024753634214460363,0.04515919502764809,0.04751732484523651,0.05049460660727241,0.886
13,tomadorcodigopostal,0.034534136090835416,0.042960852226618565,0.018052812930315822,0.055156272052476175,-0.15226246159228335,-0.0026788140689414253,0.0018404496567413315,0.03337584551549268,0.17445112352294473,0.608
14,tomadorexperian,0.03179252196208672,0.0395915302737616,0.02297987948721912,0.039909102578967216,-0.10617599577519403,0.004281722454460564,0.014572042432728062,0.03263844922686693,0.11859462573989157,0.85
15,sexo,0.023986991034454407,0.024053999213668596,0.005176860444011549,0.024835543670259714,-0.059724514661045815,-0.021138417554594488,0.016027631226021945,0.024642426633671135,0.03770473454537683,0.676
16,ine_026,0.01790970843743362,0.018034436460215967,0.011085251644159428,0.015228638014303462,-0.037155703649324426,0.010415572559023138,0.017308350565209282,0.018145792508201745,0.043551342687688184,0.756
17,pesomaxautorizado,0.015127903691156777,0.01527268474308938,0.00905856650549986,0.014470774873956668,-0.10013120835691107,0.013119931536587357,0.013591526767136448,0.013910757925947235,0.014974669257370421,0.906
18,actasvariacion,0.0133552085332297,0.013832530155650453,0.010047716782766863,0.010701799066330746,-0.07524621497007568,0.009976008151687669,0.012209558082416694,0.014413001332766786,0.021082938562019,0.94
19,ine_011,0.011106380187537955,0.011732062818554944,0.008306382080046418,0.008215125426717219,-0.011025905737485197,0.006830016629306197,0.012328245213933305,0.013337335744622276,0.016455913850080318,0.802
20,longitud,0.010286613369099272,0.010912436820539466,0.005252278122458,0.010020647024930152,-0.04897916471253575,0.006328723480920447,0.008730947330608838,0.010432698159705989,0.015905991821402014,0.844
21,anyomatricula,0.008042282130304348,0.009652058108795752,0.004372275337891965,0.01112726795374317,-0.06656842080834943,0.0037318275026879525,0.005096955200462452,0.007171598764195717,0.034477216807852054,0.934
