fold,rows,fraud_cases,fraud_rate
0,88815,372,0.004188481675392671
1,88815,372,0.004188481675392671
2,88816,372,0.0041884345163033685
3,88814,372,0.004188528835543946
4,88814,372,0.004188528835543946
