evidence_rank,candidate_id,candidate_label,source,seed_count,fit_count,mean_seed_fpr,std_seed_fpr,best_seed_mean_fpr,worst_seed_mean_fpr,mean_fold_fpr,std_fpr_across_25_fits_descriptive,worst_fold_fpr,mean_recall,mean_precision,mean_pr_auc,mean_roc_auc,median_best_iteration_25_fits,best_iteration_q25,best_iteration_q75,all_folds_all_seeds_meet_recall,absolute_fpr_gap_from_best,within_equivalence_margin,mean_fpr_leader,leader_seed_wins_in_pair,candidate_seed_wins_in_pair,paired_seed_ties,clearly_beaten_by_mean_leader,selection_shortlist
1,C,broad_trial_43_rus_1_to_5,broad_tuning,5,25,0.19084375796785524,0.000626882272441304,0.19010477420107197,0.19160854745716233,0.19084375796785522,0.020846444595360076,0.2268101849758039,0.8010752688172043,0.017536296293917803,0.04923144144174154,0.8949079836168407,248,180.0,314.0,True,0.0,True,C,5,5,0,False,True
2,A,local_trial_34_rus_1_to_7,local_refinement,5,25,0.19235706037657319,0.003443385891066364,0.18662003505026298,0.19581917972629304,0.19235706037657316,0.01584746101723292,0.22015060377187826,0.8010752688172043,0.01732231826563152,0.051879207003746375,0.8951648287209704,79,51.0,90.0,True,0.0015133024087179425,True,C,4,1,0,False,True
3,B,local_trial_8_rus_1_to_10,local_refinement,5,25,0.19279755535096563,0.001447825593570669,0.19054567921013987,0.19449401414919398,0.19279755535096563,0.019479158987566074,0.22188051196237166,0.8010752688172043,0.017334735505212077,0.05202082157338215,0.8953470529060878,84,58.0,118.0,True,0.001953797383110384,True,C,4,1,0,False,True
