model,evaluation_role,threshold,recall,fpr,precision,f1,pr_auc,roc_auc,tp,fp,fn,tn,predicted_positive
LightGBM_5_seed_ensemble,single_sealed_final_test,0.23669952663465765,0.8086021505376344,0.19235674551128398,0.01737362535809999,0.0340163749038766,0.05946076938312805,0.9008436320558589,376,21266,89,89289,21642
RFQC,single_untouched_final_test,0.0041884911073379666,0.8064516129032258,0.2440956989733617,0.013705639413764117,0.026953209228778838,0.035318561860342865,0.8677832227719089,375,26986,90,83569,27361
