rank,feature,mean_abs_shap,mean_shap,sd_shap,min_shap,q25_shap,median_shap,q75_shap,max_shap,positive_share
1,aceptoculpasinantecedentes,0.00157454989431604,0.00120607138216046,0.00400902707280907,-0.00184104521915138,-0.000330610604202028,-7.80625564189563e-19,8.67361737988403e-19,0.0231380388509061,0.384
2,antiguedad_poliza,0.00146683953311059,0.00103095505687231,0.00280707711739829,-0.00318352905547432,-0.000357590955620475,0.000133553918453751,0.00130459058800075,0.0198612600082677,0.57
3,comarcaid,0.00101962574213942,0.000883031894567822,0.00141533640268468,-0.00203104273497665,4.44302584235015e-05,0.000437967532450729,0.00132247381883447,0.010645957080901,0.776
4,edad_conductor1,0.000748498759305373,0.000383907901186969,0.000969182538582828,-0.00139297486541775,-0.000325210629137992,7.94351307091405e-05,0.000905412768625926,0.00487752980243587,0.542
5,ine_008,0.00072516007492756,0.000595297835013713,0.000819513329074722,-0.000853531129587616,-1.16751955887231e-05,0.000404124030920771,0.00108698694107,0.00401152532899103,0.736
6,dias_notificacion,0.000536255119836789,0.000324173241441899,0.00109481490445663,-0.00113498217911749,-0.000178261249333702,2.76386234736777e-05,0.00034923788622105,0.00959081286251969,0.538
7,anyomatricula,0.000462425916094583,6.63600358446649e-05,0.000808589474335841,-0.00115130936752371,-0.000325774201294305,-0.000138822073249391,0.000152138013732243,0.00586430547317552,0.346
8,ine_021,0.000438222404878264,0.000364693125550555,0.000538508188046398,-0.000446237463766056,-1.90674552130983e-05,0.000246211619714284,0.000618592292508999,0.00291063319243106,0.72
9,sea_005,0.00042654382286436,0.000281631200305331,0.000512926936198164,-0.000691734436903493,-0.000110613531436545,0.000150842099644025,0.000637668490088514,0.00271567387856533,0.624
10,ine_026,0.000418063091009969,0.000310829869264342,0.000416034878569254,-0.00127531339996431,-1.84973329985791e-05,0.000320094474946237,0.000612828483385883,0.00186868309052971,0.738
11,ine_041,0.000403133573809829,0.00032757782337256,0.000439371349679937,-0.000513848888087869,-7.54742098277901e-06,0.000278522224437219,0.000582092546443868,0.00282994168314122,0.744
12,ine_011,0.000397445216836176,0.000318848374962967,0.000383459042750229,-0.000655152851874062,6.20296036706665e-05,0.000320622060561675,0.000540713958580966,0.00197319144736411,0.788
13,ine_037,0.000392203547070966,0.000323473586118049,0.000714179118491391,-0.000606187722292083,-2.19845066243401e-05,0.000135913868148725,0.000456688143483032,0.00705164488852613,0.712
14,ine_012,0.000383783689269763,0.000312986664303403,0.000445981225256678,-0.000453675592762804,6.99588354892863e-06,0.000215714574576145,0.000544144000789453,0.00220565228427281,0.754
15,ine_013,0.000365185637572487,0.000285804137786119,0.000387710647934201,-0.000545195870551556,-1.77468207620597e-05,0.000268444405933667,0.000539171328686456,0.00184015723121873,0.732
16,ine_053,0.000341348152161887,0.000275447990181433,0.000386755741359984,-0.000447402849572264,-2.35630791140659e-05,0.00020798835129264,0.000523179266288233,0.00277975522986609,0.704
17,ine_015,0.000333685321251198,0.000270302137842975,0.000340952686325092,-0.000550325120144115,1.89203808064353e-05,0.000238278800743435,0.000476605984930732,0.0021790322197812,0.778
18,ine_034,0.000325521797108949,0.00023106311881623,0.000456060748371964,-0.000616840549567877,-7.79811713858328e-05,4.17752389125279e-05,0.000436597512397627,0.00226318029869754,0.586
19,actasvariacion,0.000320465491325824,8.55913772375048e-05,0.000682180870486933,-0.000932219735457025,-0.000192587006176178,-3.95214917864832e-05,0.000254000723000559,0.00864131244923553,0.456
20,ine_025,0.00031155041653709,0.000233064972355201,0.000355076869765828,-0.000673038025123172,-2.58487194019961e-05,0.000200714351812354,0.000422811164488606,0.00232168724133385,0.724
21,pesovehiculo,0.000308445673549235,0.000164346222490297,0.000433239718154105,-0.000852882715173837,-0.000111532910488497,5.86515980963087e-05,0.000341019341573794,0.00296303036246833,0.574
22,ine_009,0.000306933121718605,0.000257549558388464,0.00040930423221716,-0.000497805651121344,-7.23326212024906e-06,0.000114263383193281,0.000436285051014282,0.00247504916686737,0.732
23,tomadorprovinciaid,0.000305999005580942,0.000240140779701801,0.000372948427966465,-0.000857746587371968,4.77088852243379e-05,0.00019732808395161,0.000335445863162938,0.00258491677923214,0.788
24,potencia,0.000301435964490445,0.000118501357018398,0.000477045425003705,-0.000888179305319262,-0.000159558618377856,-9.42194626398445e-06,0.000239377476114865,0.00280986524241198,0.494
25,longitud,0.000294941351448454,0.000113910070920797,0.000390573948488959,-0.00107715953518312,-0.000143860577884447,4.80796130012018e-05,0.000302065781399182,0.00168600279651361,0.554
26,ine_046,0.000291266326098862,0.000227172762314112,0.000369442409134284,-0.000407132831472813,-3.42293111925429e-05,9.57443184584581e-05,0.00042996832925211,0.00154617927883679,0.684
27,ine_048,0.000281034255921915,0.000223916411645734,0.000358448760019599,-0.000419774804826643,-2.29093353188971e-05,0.000130108301242159,0.000383436786049733,0.0016939499245763,0.704
28,cilindrada,0.000269141072396561,0.000102756417876673,0.000430321165539926,-0.000548422663035892,-0.000137290241194651,-2.96359267809892e-05,0.000193847053281759,0.00238814925895472,0.454
29,ine_038,0.000269054726062919,0.00021877220072127,0.0002979136474315,-0.000612042631206547,2.96586845505565e-05,0.000163333567899857,0.000345801252534187,0.00138283249638741,0.776
30,pesomaxautorizado,0.000264275474772393,2.56249856484992e-05,0.00048205011648363,-0.000926378428904441,-0.000175494562077194,-0.000102243165024363,-8.77440540602525e-06,0.00290891009621852,0.232
31,valorvehiculomercado,0.00025963382295148,0.000101356194762043,0.000350828859497006,-0.000740032321115968,-0.000132050000145428,3.3692506585863e-05,0.000266514902639072,0.00159291477577089,0.56
32,sea_007,0.000252401385262467,0.00019590238814875,0.00037917134226693,-0.000757129641252187,-1.94664849288323e-05,0.000110237976611804,0.000318783929257157,0.00343892943002185,0.704
