fold,validation_rows,validation_fraud,roc_auc,pr_auc_average_precision,diagnostic_fold_threshold,diagnostic_fold_recall,diagnostic_fold_fpr,diagnostic_fold_precision,mean_score_std_across_seeds,locked_threshold,recall_at_locked_threshold,fpr_at_locked_threshold,precision_at_locked_threshold,fp_at_locked_threshold,fn_at_locked_threshold
0,88815,372,0.8986558866235334,0.0364592655032638,0.2470850927087263,0.8010752688172043,0.17544633266623702,0.01884287069238065,0.01347166015705708,0.23669952663465765,0.8172043010752689,0.18590504618794026,0.01815358891675624,16442,68
1,88815,372,0.9076454107675693,0.06431801396875304,0.25249382422533073,0.8010752688172043,0.17013217552547968,0.019420006516780712,0.01400738944600304,0.23669952663465765,0.8279569892473119,0.18527187001797768,0.01844974242242722,16386,64
2,88816,372,0.8873242737157538,0.04964480580669201,0.20172673859054338,0.8010752688172043,0.2207837727827778,0.015031525851197982,0.013431667677352046,0.23669952663465765,0.7688172043010753,0.1856089729094116,0.017123697760747215,16416,86
3,88814,372,0.8904021419298427,0.04332835401100182,0.20817109816194104,0.8010752688172043,0.21424210216865291,0.01548373688039073,0.013534150108061282,0.23669952663465765,0.7580645161290323,0.18775016394925487,0.016699236098774203,16605,90
4,88814,372,0.9004357664205178,0.05916626300292742,0.2538754698087732,0.8010752688172043,0.17213541077768482,0.019198556886999098,0.013177595494543237,0.23669952663465765,0.8279569892473119,0.1885529499559033,0.018134715025906734,16676,64
