trees,threshold_rule,threshold,sensitivity,specificity,fpr,gmean,precision,roc_auc,pr_auc,balance_gap
500,q_star_prevalence,0.00418849110733797,0.80752688172043,0.758458574355403,0.241541425644598,0.782608259260878,0.0138669621012787,0.864536467188002,0.0284283690327791,0.0490683073650275
1000,q_star_prevalence,0.00418849110733797,0.81505376344086,0.756511553229884,0.243488446770116,0.785237281684019,0.0138840553164209,0.86922261546993,0.0288472074764429,0.0585422102109761
2000,q_star_prevalence,0.00418849110733797,0.822043010752688,0.755419321866789,0.244580678133211,0.788027394021381,0.0139397917692322,0.87137580714947,0.0290595948354734,0.0666236888858997
3000,q_star_prevalence,0.00418849110733797,0.818817204301075,0.755573093570081,0.244426906429919,0.78655975495964,0.013894464109769,0.872181856339589,0.0291405333076854,0.0632441107309939
