rank,candidate,ntree,mtry,nodesize,nsplit,splitrule,threshold_rule,completed_folds,mean_validation_gmean,std_validation_gmean,mean_sensitivity,mean_specificity,mean_balance_gap,mean_precision,mean_f1,mean_p4,mean_pr_auc,mean_roc_auc,mean_threshold,std_threshold,mean_fit_seconds
1,3,500,24,20,10,gini,gmean_optimized,5,0.787085640858064,0.0061713084782547,0.844086021505376,0.734431704189566,0.10965431731581,0.0132083635643815,0.0260086015489069,0.00817425243538146,0.0283342992553499,0.868820803131269,0.00363758011148028,0.000395438431916717,157.1558
2,3,500,24,20,10,gini,q_star_prevalence,5,0.786249717333699,0.00938625960732457,0.81989247311828,0.754067030030368,0.0658254430879121,0.0138294447814886,0.0272000712591589,0.00854571975017211,0.0283342992553499,0.868820803131269,0.00418849110735655,9.86419385454112e-09,157.1558
3,4,500,48,20,10,gini,gmean_optimized,5,0.786029886297793,0.00771101728737554,0.836559139784946,0.738726012814089,0.0978331269708575,0.0132926500853101,0.0261691732266075,0.00820747658002874,0.0290914969737048,0.869947981445887,0.0033913646816359,0.000255951679327192,306.5408
4,4,500,48,20,10,gini,q_star_prevalence,5,0.784769413440503,0.0100513179019725,0.805376344086022,0.764785818684919,0.0405905254011023,0.0141982543950107,0.0279045427049433,0.00874076040238702,0.0290914969737048,0.869947981445887,0.00418849110735655,9.86419385454112e-09,306.5408
5,1,500,24,10,10,gini,q_star_prevalence,5,0.782097136522636,0.0135804293455315,0.798924731182796,0.765805692871493,0.0331190383113026,0.0141461709965741,0.0278000809814183,0.00865385481584218,0.027724770143602,0.861747189434629,0.00418849110735655,9.86419385454112e-09,158.0696
6,2,500,48,10,10,gini,q_star_prevalence,5,0.780497640355603,0.013013228576062,0.786021505376344,0.775181239724102,0.0205640268261784,0.0144929640488301,0.0284611348985141,0.00882848870513828,0.0285729931301147,0.866239690159028,0.00418849110735655,9.86419385454112e-09,308.6872
7,1,500,24,10,10,gini,gmean_optimized,5,0.780192432550368,0.0107698368339739,0.851075268817204,0.715913609068827,0.135161659748377,0.0124615384533716,0.0245621122861423,0.00758069345204068,0.027724770143602,0.861747189434629,0.00284000432553753,0.000476276302566525,158.0696
8,2,500,48,10,10,gini,gmean_optimized,5,0.780136412297721,0.010488033791851,0.839784946236559,0.725779759757911,0.114005186478648,0.0127732139805335,0.0251609256343154,0.00777154142645325,0.0285729931301147,0.866239690159028,0.00276890830752226,0.000684515889090254,308.6872
