ntree,fit_seconds,gmean_optimized_gmean,gmean_optimized_sensitivity,gmean_optimized_specificity,gmean_optimized_fpr,roc_auc,pr_auc,q_star_gmean,q_star_sensitivity,q_star_specificity,q_star_fpr
500,218.434,0.7412723164732123,0.7704301075268817,0.7132180347071779,0.2867819652928221,0.7869697648212068,0.0228144956063812,0.7253163740667511,0.6758064516129032,0.7784534184806451,0.2215465815193549
1000,425.224,0.7550298981052900,0.7500000000000000,0.7600935293771793,0.2399064706228207,0.8174574705984564,0.0239601938568454,0.7435504739583855,0.6876344086021505,0.8040134414559467,0.1959865585440533
2000,834.546,0.7642462375792900,0.8059139784946237,0.7247328216655284,0.2752671783344716,0.8298504054695263,0.0244118161469188,0.7470019921311868,0.6951612903225807,0.8027086433265342,0.1972913566734658
3000,1243.710,0.7652596590322180,0.7758064516129032,0.7548562460709068,0.2451437539290932,0.8392029924352784,0.0247789477319303,0.7479620665344845,0.6956989247311828,0.8041513837191948,0.1958486162808052
