rank,candidate,ntree,mtry,nodesize,nsplit,splitrule,threshold_rule,completed_folds,mean_validation_gmean,std_validation_gmean,mean_sensitivity,mean_specificity,mean_balance_gap,mean_precision,mean_f1,mean_p4,mean_pr_auc,mean_roc_auc,mean_threshold,std_threshold,mean_fit_seconds,search_stage
1,4,500,24,10,10,gini,q_star_prevalence,5,0.782097136522636,0.0135804293455315,0.798924731182796,0.765805692871493,0.0331190383113026,0.0141461709965741,0.0278000809814183,0.0086538548158421,0.0277247702140473,0.861747180316309,0.0041884911073565,9.86419385454112e-09,302.3222,quick
4,8,500,24,10,10,auc,q_star_prevalence,5,0.775341116904158,0.0123355441845411,0.796774193548387,0.754677605038578,0.0420965885098092,0.013475989006366,0.0265036648812152,0.0080995203495584,0.0264703682925039,0.854498387129089,0.0041884911073565,9.86419385454112e-09,230.4992,quick
6,3,500,12,10,10,gini,q_star_prevalence,5,0.770780054806803,0.0119983078285421,0.783333333333333,0.758587468271877,0.0247458650614568,0.0134637939519509,0.0264725673752973,0.007996829103874,0.0261568485117445,0.851435888253595,0.0041884911073565,9.86419385454112e-09,162.5524,quick
7,2,500,24,1,10,gini,q_star_prevalence,5,0.758002998747739,0.0134958038794351,0.709677419354839,0.809782138401909,0.10010471904707,0.0154540723881475,0.0302493902962325,0.0088787605820342,0.0255400758309598,0.824046767588255,0.0041884911073565,9.86419385454112e-09,302.7272,quick
10,7,500,12,10,10,auc,q_star_prevalence,5,0.751308577275499,0.0154192822057088,0.749462365591398,0.753458741013582,0.0247475937209749,0.0126232857124436,0.0248283493023169,0.0071268090362104,0.0248228087605029,0.836655586277454,0.0041884911073565,9.86419385454112e-09,131.7344,quick
12,1,500,12,1,10,gini,q_star_prevalence,5,0.740431702610285,0.0142059934298952,0.684408602150538,0.801288517571386,0.116879915420848,0.0142793526333023,0.0279750201779274,0.0078267534900179,0.0241207161731655,0.821472633793233,0.0041884911073565,9.86419385454112e-09,163.5842,quick
13,6,500,24,1,10,auc,q_star_prevalence,5,0.737323456899495,0.0210074038907286,0.676344086021505,0.804368475091487,0.128024389069982,0.0143304207494992,0.028066125370632,0.0078015084952706,0.0239498740904548,0.81328654299594,0.0041884911073565,9.86419385454112e-09,231.7832,quick
15,5,500,12,1,10,auc,q_star_prevalence,5,0.718921589120576,0.012491927001214,0.649462365591398,0.796053504996947,0.14659113940555,0.0132153706422072,0.025903584479003,0.0068247617885228,0.0225998404051154,0.801604983712598,0.0041884911073565,9.86419385454112e-09,132.1322,quick
2,3,500,24,20,10,gini,q_star_prevalence,5,0.786249717333699,0.0093862596073245,0.81989247311828,0.754067030030368,0.0658254430879121,0.0138294447814886,0.0272000712591589,0.0085457197501721,0.0283342992553499,0.868820803131269,0.0041884911073565,9.86419385454112e-09,157.1558,local
4,4,500,48,20,10,gini,q_star_prevalence,5,0.784769413440503,0.0100513179019725,0.805376344086022,0.764785818684919,0.0405905254011023,0.0141982543950107,0.0279045427049433,0.008740760402387,0.0290914969737048,0.869947981445887,0.0041884911073565,9.86419385454112e-09,306.5408,local
5,1,500,24,10,10,gini,q_star_prevalence,5,0.782097136522636,0.0135804293455315,0.798924731182796,0.765805692871493,0.0331190383113026,0.0141461709965741,0.0278000809814183,0.0086538548158421,0.027724770143602,0.861747189434629,0.0041884911073565,9.86419385454112e-09,158.0696,local
6,2,500,48,10,10,gini,q_star_prevalence,5,0.780497640355603,0.013013228576062,0.786021505376344,0.775181239724102,0.0205640268261784,0.0144929640488301,0.0284611348985141,0.0088284887051382,0.0285729931301147,0.866239690159028,0.0041884911073565,9.86419385454112e-09,308.6872,local
