point,threshold,sensitivity,specificity,gmean,balance_gap
maximum_oob_gmean,0.0038540686459188,0.833870967741935,0.744284441469515,0.787805297953403,0.0895865262724207
locked_q_star,0.0041884911073379,0.818817204301075,0.755573093570081,0.78655975495964,0.0632441107309939
