rank,strategy,kind,value,source,completed_folds,all_folds_meet_recall,mean_fpr_at_primary_recall,std_fpr_at_primary_recall,best_fold_fpr,worst_fold_fpr,mean_recall,mean_precision,mean_pr_auc,std_pr_auc,mean_roc_auc,std_roc_auc,best_iterations,median_best_iteration,mean_fit_seconds,mean_training_rows,training_row_retention,absolute_fpr_reduction_vs_baseline,relative_fpr_reduction_vs_baseline,meets_10pct_relative_improvement
1,rus_1_to_15,random_undersampling,15.0,trained_in_screen,5,True,0.21368166690507467,0.012441869524481675,0.19699693587960607,0.23148504104384796,0.8010752688172043,0.015564334712455658,0.04616157676815137,0.0031372386975673564,0.8833545062349236,0.005916710048880252,"[54, 80, 92, 46, 259]",80,1.4245758838951588,23808.0,0.06701585771740745,0.015264061992529276,0.06667109304037785,False
2,rus_1_to_30,random_undersampling,30.0,trained_in_screen,5,True,0.21849602063201923,0.015101366966659648,0.20337392444851488,0.23636959815472286,0.8010752688172043,0.015242411030478863,0.042238691588005764,0.005717852521923146,0.8805470598630712,0.006110072687645764,"[60, 128, 121, 24, 30]",60,1.5241797640919685,46128.0,0.12984322432747694,0.010449708265584723,0.04564273077248957,False
3,rus_1_to_60,random_undersampling,60.0,trained_in_screen,5,True,0.2229983797849669,0.016342900784402814,0.20089775335526835,0.2439564912598087,0.8016129032258064,0.014958337942282726,0.041232662876085034,0.00538855706358455,0.8776591582351869,0.008554727668722234,"[58, 49, 94, 8, 10]",49,1.702875868231058,90768.0,0.25549795754761595,0.005947349112637057,0.025977113184308457,False
4,baseline,baseline,,imported_completed_baseline,5,True,0.22894572889760395,0.02166965236807901,0.207421729249347,0.2600235182379412,0.8032258064516128,0.01463748085672054,0.036068034401728524,0.003590936222804121,0.8729802678277476,0.009179152751515138,"[88, 6, 6, 8, 47]",8,3.0406243026256563,355259.2,1.0,0.0,0.0,False
5,weight_5,scale_pos_weight,5.0,trained_in_screen,5,True,0.24178105912189046,0.016263753898421135,0.22082018927444794,0.2659875175252137,0.8053763440860215,0.013865780839422198,0.033384785851082156,0.004824384009476297,0.8668128791362004,0.007453246111632534,"[4, 21, 46, 5, 2]",5,2.9797111794352533,355259.2,1.0,-0.012835330224286512,-0.0560627633723061,False
6,weight_10,scale_pos_weight,10.0,trained_in_screen,5,True,0.2482823218902146,0.025328476438839367,0.21912665927952782,0.2873795848220343,0.8112903225806452,0.01366053764331745,0.036274279147424635,0.010409795644439881,0.8612806281282348,0.00858498283941199,"[2, 147, 7, 7, 2]",7,3.202966297417879,355259.2,1.0,-0.019336592992610646,-0.08445928686120606,False
7,weight_20,scale_pos_weight,20.0,trained_in_screen,5,True,0.25374130035760867,0.02061254145971881,0.23121367675991045,0.2755755054045498,0.803763440860215,0.013216166677089558,0.03166117292622257,0.004566338507772597,0.8555297978033801,0.008819555955189889,"[4, 47, 11, 8, 2]",8,3.027942431718111,355259.2,1.0,-0.024795571460004717,-0.10830327160675945,False
8,weight_2,scale_pos_weight,2.0,trained_in_screen,5,True,0.25447623944013564,0.051294551130329165,0.20338523116583562,0.3163696802496495,0.8327956989247312,0.013892958500041038,0.03492344653418635,0.004339653000673187,0.8720231455770187,0.009476727759336341,"[16, 4, 4, 3, 12]",4,2.8280427955091,355259.2,1.0,-0.025530510542531692,-0.11151337334600472,False
