fold,training_rows,validation_rows,training_fraud,validation_fraud,best_iteration,fit_seconds,roc_auc,pr_auc_average_precision,primary_threshold,primary_recall,primary_fpr,primary_precision,primary_fp,primary_fn,fixed_0.5_recall,fixed_0.5_fpr,fixed_0.5_precision
0,355259,88815,1488,372,88,3.7840904146432877,0.8712729777115422,0.03021453421643392,0.003468986062033544,0.8010752688172043,0.21688545164682338,0.015297741273100615,19182,74,0.01881720430107527,0.00038442838890584896,0.17073170731707318
1,355259,88815,1488,372,6,2.684181947261095,0.8848816150223235,0.035306186558493,0.004794164089377752,0.8010752688172043,0.20742172924934704,0.015984551842514617,18345,74,0.0,0.00011306717320760263,0.0
2,355258,88816,1488,372,6,2.6492623537778854,0.8655035742196144,0.03767173349340537,0.004283480802188141,0.8118279569892473,0.2424585048166071,0.013887611514761335,21444,70,0.005376344086021506,3.391976844104744e-05,0.4
3,355260,88814,1488,372,8,2.7585891745984554,0.8634705893152015,0.03767796491445418,0.004189272985129907,0.8010752688172043,0.26002351823794123,0.01279244473062889,22997,74,0.010752688172043012,0.00010176160647656091,0.3076923076923077
4,355260,88814,1488,372,47,3.326997622847557,0.8797725828700567,0.03946975282585631,0.004425654957608217,0.8010752688172043,0.21793944053730127,0.015225054922597455,19275,74,0.013440860215053764,0.0002939779742656204,0.16129032258064516
