rule,requested_minimum_recall,threshold,recall,fpr,specificity,precision,f1,tn,fp,fn,tp,predicted_positive,predicted_positive_rate,false_positives_per_10000_legitimate
fixed_0.5,,0.5,0.00967741935483871,0.00018543058338270612,0.9998145694166173,0.18,0.018367346938775512,442132,82,1842,18,100,0.00022518769394290142,1.8543058338270613
minimum_recall_0.70,0.7,0.0053326837580519966,0.7,0.17374845662959562,0.8262515433704044,0.016663253813863008,0.03255162758137907,365380,76834,558,1302,78136,0.17595265653922545,1737.4845662959563
minimum_recall_0.75,0.75,0.004842585952775033,0.75,0.1996499432401507,0.8003500567598493,0.015554787417905289,0.03047748052827633,353926,88288,465,1395,89683,0.20195507955881228,1996.499432401507
minimum_recall_0.80,0.8,0.004255994837882099,0.8010752688172043,0.23170003663384697,0.768299963366153,0.014333676443709056,0.028163423462588957,339753,102461,370,1490,103951,0.23408485973058543,2317.0003663384696
minimum_recall_0.85,0.85,0.003995208093993273,0.8559139784946237,0.2766963506356651,0.7233036493643349,0.012843785044090004,0.025307802974302726,319855,122359,268,1592,123951,0.2791223985191657,2766.963506356651
minimum_recall_0.90,0.9,0.0033452417438486074,0.9037634408602151,0.3113108133166295,0.6886891866833704,0.012063410048296698,0.023809017966531402,304548,137666,179,1681,139347,0.31379229587861485,3113.1081331662954
